Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Channel Sales Officer,Jaipur,Contractual,Enterprise & B2B Sales Department,0 Jun 2023,4.0,2.0,5.0,5.0,3.0,4.0,2.0,Learn a lot new things..,Politics
Senior Assistant Engineer,Noida,Full Time,,1 Jul 2023,4.0,4.0,3.0,3.0,3.0,3.0,3.0,"Salary on time 
Good HR Policies 
Employee Rewards & perks","Very slow growth
No satisfactory salary increment"
Senior Mechanical Engineer-R&D,Noida,Full Time,Engineering & Manufacturing Department,1 Mar 2023,2.0,2.0,1.0,2.0,4.0,1.0,1.0,"-On time salary.
-Transport facility.
-Fixed working time","- All the managers loves buttering.
- Favouratism and biasedness at peak.
- No skill development.
- They transfers you anytime anywhere whether the new department is related to your previous experience or not.
- Indians follows the Koreans expats like donkeys, they never share their opinion.
- They provide bad quality lunch and it'squality is depreciating day by day.
- They are making lives of the people who do adulating great but destroying the ones who does not adulate them....Read More"
Chief Manager,Gurgaon/Gurugram,Full Time,Enterprise & B2B Sales Department,0 Apr 2023,4.0,1.0,2.0,2.0,4.0,1.0,1.0,Exposure to semiconductor market,"-Military Culture(strict work reporting hours, no flexibility, wfh, etc.)
-Favouritism (no matter how you work hard but korean management prefer who can please more to them)
-Promotion and good appraisal for selected persons(who are favourite in front of management and koreans)
-Toxic environment nowadays
-Too much focus on internal reporting"
Area Business Manager,"Jammu, Jammu & Kashmir",Full Time,Retail & B2C Sales Department,6 Apr 2023,2.0,3.0,2.0,4.0,5.0,2.0,1.0,Good brand name,"The culture while not exactly toxic is very rigid. Which means there is very little scope for Horizontal or vertical growth, and one can get stuck in a rut"
Area Service Manager,"Kolkata, West Bengal",Full Time,Operations Department,8 Aug 2023,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Policy,Few persons with power
Assistant Manager,Chennai,Full Time,Engineering Department,9 Jun 2023,5.0,4.0,4.0,4.0,5.0,5.0,4.0,Supporting team members,Sometimes 6 days workdays production plan
Test Engineer,Noida,Full Time,Engineering & Manufacturing Department,0 May 2023,4.0,4.0,3.0,4.0,5.0,4.0,4.0,"Timely Appraisals are given.
Job security is almost.",Working culture can be more improved.
Mis Executive   (working remotely),,Full Time,Back Office Department,0 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Almost it's very good company,No
Professional,"Mumbai, Maharashtra",Full Time,Service Delivery Department,2 Jun 2023,4.0,4.0,2.0,4.0,4.0,2.0,3.0,Work life balance is good,Not much scope of learning
Executive,Gurgaon/Gurugram,Full Time,Accounting & Taxation Department,9 Aug 2023,3.0,4.0,3.0,3.0,3.0,3.0,2.0,you can learn alot,every time poltics
Manager - Environment,Noida,Full Time,Operations Support Department,9 Jul 2023,5.0,5.0,5.0,5.0,4.0,4.0,3.0,Great Work Place,No comments please
Samsung Experience Consultant,"Bhagalpur, Bihar",Full Time,Retail & B2C Sales Department,6 Apr 2023,4.0,5.0,4.0,3.0,5.0,4.0,1.0,Great platform to learn and increase confidence level,Higher authorities never promote even you worked above 5 years
Apprentice Quality Trainee,"Noida, Uttar Pradesh",Full Time,Quality Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Samsung is proud,My proud
Associate - UI Graphic And Visual Designer,"Bengaluru/Bangalore, Karnataka",Full Time,Corporate Communication Department,9 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Very things are Excellent.
1. Job stratification 
2. Learning  Growth good
3. Team Collaboration is good
4. Food",1. No dislike
Assistant Manager,Noida,Full Time,Product Management - Technology Department,4 Jun 2023,4.0,4.0,4.0,4.0,5.0,4.0,3.0,Good experience and used quality time with organization.,No
Assistant Manager,Noida,Full Time,Procurement & Purchase Department,5 Jun 2023,4.0,3.0,3.0,3.0,5.0,4.0,3.0,Good challenges comes on path,Increment not great depend on market condition.
Software Engineer,Noida,Full Time,Software Development Department,0 Apr 2023,3.0,4.0,3.0,3.0,4.0,3.0,2.0,"work Life balance
Facilities provided to Employees","Too much politics,
Less appraisals
Less packages and increment than market standard"
Key Account Manager,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,7 May 2023,1.0,1.0,1.0,3.0,1.0,1.0,1.0,There is nothing good. Bad management,"Timings
Way of operations 
Company structure 
Manipulative bosses"
Area Sales Manager,"Raipur, Chhattisgarh",Full Time,Retail & B2C Sales Department,4 Jul 2023,5.0,3.0,4.0,5.0,4.0,3.0,4.0,Size of brand,Some processes
Intern,Gurgaon/Gurugram,Intern,Employee Relations Department,6 Jun 2023,4.0,5.0,2.0,3.0,5.0,2.0,2.0,Work-life balance,"Bureaucratic structures 
No career growth"
Sales Manager,"Bhubaneswar, Odisha",Full Time,Sales Support & Operations Department,3 Aug 2023,5.0,4.0,5.0,4.0,4.0,5.0,4.0,Good company to work,Nothing (Policy)
Staff Engineer,Noida,Full Time,Software Development Department,8 Jun 2023,1.0,1.0,1.0,3.0,2.0,1.0,1.0,Only Salary credited on last day of month,It is an mental hospital
E Commerce Incharge,"Ahmedabad, Gujarat",Full Time,Operations Support Department,8 May 2023,4.0,5.0,5.0,5.0,4.0,5.0,4.0,"Working culture, Policy, Other benefits",No comments for this company
Senior Software Engineer,Chennai,Full Time,Software Development Department,1 Jun 2023,3.0,3.0,4.0,2.0,5.0,2.0,3.0,"Good managers
Great architecture","Work culture
Low perks"
Sales Officer   (working remotely),,Full Time,Marketing Department,5 Jul 2023,3.0,4.0,5.0,4.0,5.0,3.0,5.0,Good work,Not good this is off roles
Purchase Engineer,"Kancheepuram, Tamil Nadu",Full Time,Procurement & Purchase Department,9 Mar 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"- It's be great to work in OEM company 
- people are so friendly in Each department 
- Best Team Member",Package quite be disappointment
Store Incharge,"Bengaluru/Bangalore, Karnataka",Full Time,Stores & Material Management Department,3 Jul 2023,4.0,4.0,5.0,4.0,4.0,4.0,4.0,My carrier and future life,No
Mechanical Maintenance Senior  Engineer,Noida,Full Time,"Operations, Maintenance & Support Department",7 Jan 2023,4.0,3.0,2.0,4.0,5.0,3.0,3.0,It's benefits that are provided to employee,"Skill development and training are not available,
Salary structure is not good"
